"type","code","message","context","selector"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"button\" found on the web page.","<button id=\"button\" class=\"style-scope yt-icon-button\" aria-label=\"Settings\"><yt-icon class=\"style-scope ytd...</button>","#button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"interaction\" found on the web page.","<yt-interaction id=\"interaction\" class=\"circular style-scope yt-icon-button\"><!--css-build:shady--><!--css_b...</yt-interaction>","#interaction"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Align attributes .","<tp-yt-app-drawer id=\"guide\" align=\"start\" role=\"navigation\" class=\"style-scope ytd-app\" style=\"transition-duration: 200ms; touch-action: pan-y;\" position=\"left\" swipe-open=\"\"><!--css-build:shady--><!--css_b...</tp-yt-app-drawer>","#guide"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"guide-button\" found on the web page.","<yt-icon-button id=\"guide-button\" pressed=\"true\" toggleable=\"true\" class=\"style-scope ytd-app\" aria-label=\"Guide\"><!--css-build:shady--><!--css_b...</yt-icon-button>","#guide-button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"button\" found on the web page.","<button id=\"button\" class=\"style-scope yt-icon-button\" aria-pressed=\"true\">\n            <yt-icon id=\"guide...</button>","#button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title , element content, aria-label , aria-labelledby .","<button id=\"button\" class=\"style-scope yt-icon-button\" aria-pressed=\"true\">\n            <yt-icon id=\"guide...</button>","#button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"guide-icon\" found on the web page.","<yt-icon id=\"guide-icon\" icon=\"yt-icons:menu\" class=\"style-scope ytd-app\"><!--css-build:shady--><!--css_b...</yt-icon>","#guide-icon"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"interaction\" found on the web page.","<yt-interaction id=\"interaction\" class=\"circular style-scope yt-icon-button\"><!--css-build:shady--><!--css_b...</yt-interaction>","#interaction"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"logo\" found on the web page.","<a class=\"yt-simple-endpoint style-scope ytd-topbar-logo-renderer\" id=\"logo\" aria-label=\"\" href=\"/\" title=\"YouTube Home\">\n  <div class=\"style-scope ytd-...</a>","#logo"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"logo-icon\" found on the web page.","<yt-icon id=\"logo-icon\" class=\"style-scope ytd-logo\"><!--css-build:shady--><!--css_b...</yt-icon>","#logo-icon"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"style-scope ytd-yoodle-renderer\" src=\"\">","#logo > ytd-yoodle-renderer > picture > img"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"logo-icon\" found on the web page.","<yt-icon id=\"logo-icon\" class=\"style-scope ytd-logo\"><!--css-build:shady--><!--css_b...</yt-icon>","#logo-icon"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"country-code\" found on the web page.","<span id=\"country-code\" class=\"style-scope ytd-topbar-logo-renderer\">\n  IN\n</span>","#country-code"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"tooltip\" found on the web page.","<div id=\"tooltip\" class=\"hidden style-scope tp-yt-paper-tooltip\" style-target=\"tooltip\">\n  \n    Home\n  \n</div>","#tooltip"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"endpoint\" found on the web page.","<a id=\"endpoint\" class=\"yt-simple-endpoint style-scope ytd-mini-guide-entry-renderer\" aria-selected=\"false\" aria-label=\"Shorts\" title=\"Shorts\" href=\"/shorts/\">\n  <yt-icon id=\"icon\" class=\"gu...</a>","#endpoint"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"icon\" found on the web page.","<yt-icon id=\"icon\" class=\"guide-icon style-scope ytd-mini-guide-entry-renderer\"><!--css-build:shady--><!--css_b...</yt-icon>","#icon"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"tooltip\" found on the web page.","<div id=\"tooltip\" class=\"hidden style-scope tp-yt-paper-tooltip\" style-target=\"tooltip\">\n  \n    Shorts\n  \n</div>","#tooltip"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"ally-menu-button\" found on the web page.","<button type=\"button\" id=\"ally-menu-button\" class=\"ally-menu-button style-scope ytd-mini-guide-entry-renderer\" aria-haspopup=\"true\" aria-expanded=\"false\" aria-label=\"Shorts\"></button>","#ally-menu-button"
